,repository_name,language
555,azure-linux-automation,PowerShell
556,azure-linux-kernel,
557,azure-load-testing,
558,Azure-Managed-Instance-Link,PowerShell
559,azure-maven-archetypes,Scala
560,azure-maven-plugins,Java
561,azure-media-redactor-visualizer,C#
562,azure-mobile-apps-with-ionic,JavaScript
563,azure-netapp-files,
564,azure-nodejs-logpoints-docs,
565,Azure-Non-Fungible-Token-Solution-Accelerator,C#
566,Azure-ODSPMarketplace,
567,azure-openai-dev-skills-orchestrator,C#
568,azure-openai-in-a-day-workshop,Jupyter Notebook
569,azure-openai-service-proxy,Bicep
570,azure-oracle,HCL
571,Azure-PaaS-ChefClient,PowerShell
572,Azure-PDF-Form-Processing-Automation-Solution-Accelerator,Bicep
573,azure-percept-advanced-development,C++
574,Azure-Percept-Devkit-Private-Preview,Shell
575,Azure-Percept-Reference-Solutions,Python
576,azure-pipeline-filter,JavaScript
577,azure-pipelines-agent,C#
578,azure-pipelines-agent-cookbook,Ruby
579,azure-pipelines-agent-macos-cookbook,Ruby
580,azure-pipelines-artifact-caching-tasks,TypeScript
581,azure-pipelines-coveragepublisher,C#
582,azure-pipelines-ephemeral-agents,TypeScript
583,azure-pipelines-evaluate-artifact-policies,C#
584,azure-pipelines-extensions,PowerShell
585,azure-pipelines-image-generation,
586,azure-pipelines-jira,
587,azure-pipelines-language-server,TypeScript
588,azure-pipelines-orchestrator,C#
589,azure-pipelines-servicenow-app,
590,azure-pipelines-task-lib,TypeScript
591,azure-pipelines-tasks,TypeScript
592,azure-pipelines-tasks-common-packages,TypeScript
593,azure-pipelines-tasks-coverage-tools,TypeScript
594,azure-pipelines-terraform,TypeScript
595,azure-pipelines-tool-lib,TypeScript
596,azure-pipelines-vscode,TypeScript
597,azure-pipelines-yaml,
598,azure-privacy-sandbox-kms,TypeScript
599,azure-puppet,Ruby
600,Azure-Pyday,
601,azure-python-redis-queue-processor,Python
602,azure-quantum-python,Python
603,azure-quantum-tgp,Python
604,azure-quickstart-templates,
605,Azure-RACI-Toolkit,
606,azure-realtime-fraud-detection,Jupyter Notebook
607,azure-redcap-paas,Bicep
608,azure-repos-pr-multi-cherry-pick,TypeScript
609,azure-repos-vscode,TypeScript
610,azure-resource-provider-sdk,
611,azure-rest-api-specs,TypeScript
612,azure-roles,PowerShell
613,azure-schema-operator,Go
614,azure-sdk-for-js,
615,azure-sdk-for-net-ace,
616,azure-search-query-classification,Python
617,Azure-Secure-Enclave-for-Research,Bicep
618,Azure-Security-Center,PowerShell
619,Azure-Services-Explorer,Java
620,azure-shortcuts-for-java,Java
621,Azure-Social-Media-Analytics-Solution-Accelerator,Jupyter Notebook
622,azure-software-radio,
623,azure-software-radio-hello-world,
624,Azure-Solution-Accelerator-Customer-Complaint-Management,Jupyter Notebook
625,Azure-Solution-Accelerator-to-automate-COVID-19-Vaccination-Proof-and-Test-Verification-Forms,
626,azure-spark-java-sdk,Java
627,azure-spring-apps-training,Java
628,azure-spring-boot,
629,azure-spring-initializr,Java
630,Azure-SQL-DB-auditing-OMS-integration,C#
631,azure-sql-security-sample,C#
632,azure-sql-tips,TSQL
633,azure-ssl-configure,JavaScript
634,azure-streamlit-chatbot,Python
635,Azure-Synapse-Connectivity-Checker,PowerShell
636,Azure-Synapse-Content-Recommendations-Solution-Accelerator,Jupyter Notebook
637,Azure-Synapse-Customer-Insights-Customer360-Solution-Accelerator,Jupyter Notebook
638,Azure-Synapse-Retail-Recommender-Solution-Accelerator,TypeScript
639,Azure-Synapse-Solution-Accelerator--Part-Comparator,Jupyter Notebook
640,Azure-Synapse-Solution-Accelerator-Commodity-Price-Prediction,Jupyter Notebook
641,Azure-Synapse-Solution-Accelerator-Financial-Analytics-Customer-Revenue-Growth-Factor,Jupyter Notebook
642,azure-synapse-spark-metrics,Python
643,azure-tee-attestation-samples,C++
644,azure-terraform-storage-datalifecycle,
645,Azure-Threat-Research-Matrix,HTML
646,Azure-Toolkit-for-IntelliJ,Java
647,azure-tools-for-java,Java
648,azure-vhd-utils,Go
649,Azure.Data.Wrappers,C#
650,azuread-discovery-lab-dns-utility,JavaScript
651,AzureAD-to-MSGraph,PowerShell
652,AzureADDSC,
653,AzureADGraphApps,PowerShell
654,AzureADToolkit,PowerShell
655,AzureAppForMicrosoftTeams,
656,AzureAppsWorkshop,
657,AzureAutomanage,
658,AzureAutomaticGradingEngine,C#
659,AzureAutomaticGradingEngine_Assignments,C#
660,azureautomation,
661,AzureAutomation-Account-Modules-Update,PowerShell
662,AzureBCDRScripts,
663,AzureBot,JavaScript
664,AzureBotServices-scenarios,C#
665,azurechat,TypeScript
666,AzureClusterlessHPC.jl,Julia
667,AzureDataCommunity,
668,AzureDatalakeToolsForVSCode,
669,AzureDataRetrievalAugmentedGenerationSamples,Jupyter Notebook
670,azuredatastudio,TypeScript
671,azuredatastudio-debug,TypeScript
672,azuredatastudio-mysql,TypeScript
673,azuredatastudio-postgresql,TypeScript
